value,seq
14,"Introduced anti-corruption audits of municipal governments?, Enforced mandatory reporting of public officials income and wealth?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?, Introduced anti-corruption trainings in schools?, Arrested corrupt officials?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?"
15,"Introduced anti-corruption audits of municipal governments?, Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt officials?, Raised civil service salaries to increase honesty?, Implemented civil service exam to ensure hiring of public servants based on merit?"
16,"Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt officials?, Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?, Improved protections for people who report corruption?, Introduced anti-corruption audits of municipal governments?"
17,"Arrested corrupt officials?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Introduced anti-corruption audits of municipal governments?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?"
18,"Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Arrested corrupt officials?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?"
19,"Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?, Arrested corrupt businesspeople?, Arrested corrupt officials?, Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?"
20,"Arrested corrupt officials?, Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt businesspeople?"
21,"Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Mandated that government purchases be made via online platform with publicly visible transactions?, Implemented civil service exam to ensure hiring of public servants based on merit?"
22,"Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Mandated that government purchases be made via online platform with publicly visible transactions?, Implemented civil service exam to ensure hiring of public servants based on merit?, Improved protections for people who report corruption?, Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?, Arrested corrupt businesspeople?"
23,"Mandated that government purchases be made via online platform with publicly visible transactions?, Implemented civil service exam to ensure hiring of public servants based on merit?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?, Arrested corrupt officials?, Introduced anti-corruption trainings in schools?, Enforced mandatory reporting of public officials income and wealth?"
24,"Arrested corrupt officials?, Introduced anti-corruption audits of municipal governments?, Improved protections for people who report corruption?, Introduced anti-corruption trainings in schools?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?, Enforced mandatory reporting of public officials income and wealth?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?"
25,"Implemented civil service exam to ensure hiring of public servants based on merit?, Enforced mandatory reporting of public officials income and wealth?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt officials?, Improved protections for people who report corruption?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt businesspeople?, Introduced anti-corruption trainings in schools?"
26,"Improved protections for people who report corruption?, Arrested corrupt officials?, Mandated that government purchases be made via online platform with publicly visible transactions?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?, Introduced anti-corruption audits of municipal governments?, Introduced anti-corruption trainings in schools?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?"
27,"Introduced anti-corruption audits of municipal governments?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt officials?, Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Implemented civil service exam to ensure hiring of public servants based on merit?, Improved protections for people who report corruption?"
28,"Improved protections for people who report corruption?, Introduced anti-corruption trainings in schools?, Implemented civil service exam to ensure hiring of public servants based on merit?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt businesspeople?, Arrested corrupt officials?, Mandated that government purchases be made via online platform with publicly visible transactions?, Raised civil service salaries to increase honesty?"
29,"Arrested corrupt businesspeople?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?, Arrested corrupt officials?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption audits of municipal governments?"
30,"Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Mandated that government purchases be made via online platform with publicly visible transactions?, Raised civil service salaries to increase honesty?, Arrested corrupt officials?, Introduced anti-corruption trainings in schools?, Arrested corrupt businesspeople?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?"
31,"Arrested corrupt officials?, Arrested corrupt businesspeople?, Introduced anti-corruption audits of municipal governments?, Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?, Enforced mandatory reporting of public officials income and wealth?"
32,"Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?, Arrested corrupt officials?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?, Introduced anti-corruption audits of municipal governments?"
33,"Arrested corrupt officials?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?"
34,"Raised civil service salaries to increase honesty?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt officials?, Introduced anti-corruption trainings in schools?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?"
35,"Arrested corrupt officials?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?, Introduced anti-corruption audits of municipal governments?"
36,"Implemented civil service exam to ensure hiring of public servants based on merit?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt officials?, Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Arrested corrupt businesspeople?, Introduced anti-corruption audits of municipal governments?, Enforced mandatory reporting of public officials income and wealth?"
37,"Arrested corrupt businesspeople?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt officials?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?"
38,"Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt officials?, Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?, Arrested corrupt businesspeople?, Implemented civil service exam to ensure hiring of public servants based on merit?"
39,"Arrested corrupt businesspeople?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?, Arrested corrupt officials?, Implemented civil service exam to ensure hiring of public servants based on merit?"
40,"Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt businesspeople?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt officials?, Raised civil service salaries to increase honesty?, Improved protections for people who report corruption?"
41,"Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?, Arrested corrupt officials?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?, Introduced anti-corruption audits of municipal governments?"
42,"Arrested corrupt businesspeople?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Introduced anti-corruption trainings in schools?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt officials?, Mandated that government purchases be made via online platform with publicly visible transactions?, Raised civil service salaries to increase honesty?"
43,"Introduced anti-corruption audits of municipal governments?, Arrested corrupt businesspeople?, Improved protections for people who report corruption?, Introduced anti-corruption trainings in schools?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?"
44,"Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?"
45,"Introduced anti-corruption audits of municipal governments?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt officials?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?, Introduced anti-corruption trainings in schools?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?"
46,"Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt officials?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?"
47,"Arrested corrupt businesspeople?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt officials?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?"
48,"Arrested corrupt officials?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption trainings in schools?"
49,"Arrested corrupt officials?, Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt businesspeople?, Implemented civil service exam to ensure hiring of public servants based on merit?"
50,"Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Raised civil service salaries to increase honesty?"
51,"Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption trainings in schools?, Arrested corrupt businesspeople?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt officials?, Improved protections for people who report corruption?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?"
52,"Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?, Improved protections for people who report corruption?, Arrested corrupt officials?, Arrested corrupt businesspeople?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?"
53,"Arrested corrupt officials?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?, Implemented civil service exam to ensure hiring of public servants based on merit?, Enforced mandatory reporting of public officials income and wealth?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?"
54,"Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Mandated that government purchases be made via online platform with publicly visible transactions?, Implemented civil service exam to ensure hiring of public servants based on merit?, Improved protections for people who report corruption?, Arrested corrupt officials?, Introduced anti-corruption audits of municipal governments?, Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?"
55,"Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption audits of municipal governments?, Implemented civil service exam to ensure hiring of public servants based on merit?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Arrested corrupt officials?"
56,"Arrested corrupt officials?, Raised civil service salaries to increase honesty?, Implemented civil service exam to ensure hiring of public servants based on merit?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt businesspeople?"
57,"Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt businesspeople?, Arrested corrupt officials?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?, Introduced anti-corruption trainings in schools?, Enforced mandatory reporting of public officials income and wealth?"
58,"Arrested corrupt officials?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?"
59,"Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?, Arrested corrupt officials?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?, Introduced anti-corruption audits of municipal governments?, Enforced mandatory reporting of public officials income and wealth?"
60,"Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Mandated that government purchases be made via online platform with publicly visible transactions?, Raised civil service salaries to increase honesty?, Implemented civil service exam to ensure hiring of public servants based on merit?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?"
61,"Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?, Arrested corrupt businesspeople?"
62,"Introduced anti-corruption trainings in schools?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Implemented civil service exam to ensure hiring of public servants based on merit?"
63,"Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Implemented civil service exam to ensure hiring of public servants based on merit?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt officials?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?, Mandated that government purchases be made via online platform with publicly visible transactions?"
64,"Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption trainings in schools?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt officials?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?, Introduced anti-corruption audits of municipal governments?"
65,"Raised civil service salaries to increase honesty?, Arrested corrupt officials?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?"
66,"Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt businesspeople?, Implemented civil service exam to ensure hiring of public servants based on merit?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt officials?, Raised civil service salaries to increase honesty?"
67,"Mandated that government purchases be made via online platform with publicly visible transactions?, Raised civil service salaries to increase honesty?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?"
68,"Introduced anti-corruption audits of municipal governments?, Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?, Arrested corrupt officials?, Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Implemented civil service exam to ensure hiring of public servants based on merit?"
69,"Raised civil service salaries to increase honesty?, Introduced anti-corruption audits of municipal governments?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption trainings in schools?, Arrested corrupt officials?, Arrested corrupt businesspeople?, Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?"
70,"Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt businesspeople?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt officials?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Implemented civil service exam to ensure hiring of public servants based on merit?"
71,"Mandated that government purchases be made via online platform with publicly visible transactions?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?, Introduced anti-corruption trainings in schools?, Arrested corrupt businesspeople?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?"
72,"Raised civil service salaries to increase honesty?, Implemented civil service exam to ensure hiring of public servants based on merit?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?, Enforced mandatory reporting of public officials income and wealth?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt officials?, Introduced anti-corruption audits of municipal governments?, Introduced anti-corruption trainings in schools?"
73,"Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?, Arrested corrupt officials?, Raised civil service salaries to increase honesty?, Introduced anti-corruption audits of municipal governments?"
74,"Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?, Arrested corrupt businesspeople?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt officials?"
75,"Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt officials?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?, Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Enforced mandatory reporting of public officials income and wealth?"
76,"Introduced anti-corruption audits of municipal governments?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?, Arrested corrupt businesspeople?, Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?"
77,"Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Introduced anti-corruption audits of municipal governments?, Introduced anti-corruption trainings in schools?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?"
78,"Mandated that government purchases be made via online platform with publicly visible transactions?, Raised civil service salaries to increase honesty?, Arrested corrupt businesspeople?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?"
79,"Introduced anti-corruption audits of municipal governments?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?, Implemented civil service exam to ensure hiring of public servants based on merit?, Improved protections for people who report corruption?"
80,"Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption trainings in schools?, Arrested corrupt officials?, Raised civil service salaries to increase honesty?, Introduced anti-corruption audits of municipal governments?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?, Mandated that government purchases be made via online platform with publicly visible transactions?"
